Total_Molecules: 55
Total_Reactions: 444
Sorting by     : TP Descending
************************************************************

O2				PRODUCTION RXS		INT RX RATE	TP = 6.60e+13

  P3	O3			= O2	+ O		3.464319e+13
  P4	O3			= O2	+ O(1D)		1.214460e+13
  R464	O(1D)	+ O2		= O	+ O2		5.957030e+12
  M34	O	+ O		= O2			3.906585e+12
  R192	H	+ O3		= OH	+ O2		3.747193e+12
  R445	O	+ OH		= O2	+ H		3.358657e+12
  R441	O	+ HO2		= OH	+ O2		1.344836e+12
  R261	HO2	+ O3		= OH	+ O2	+ O2	3.338747e+11 (x2)
  R257	HO2	+ HO2		= H2O2	+ O2		1.044237e+11
  R444	O	+ O3		= O2	+ O2		5.226720e+10 (x2)
  R182	H	+ HO2		= H2	+ O2		1.904759e+09
  M19	HO2	+ HO2		= H2O2	+ O2		1.606576e+09
  T1	O3			= O2	+ O		1.436193e+09
  R465	O(1D)	+ O3		= O2	+ O2		8.761018e+08 (x2)
  R466	O(1D)	+ O3		= O2	+ O	+ O	8.761018e+08
  R522	OH	+ HO2		= H2O	+ O2		1.268602e+08
  R525	OH	+ O3		= HO2	+ O2		7.982551e+06
  R420	O	+ CH3O		= CH3	+ O2		6.372010e+05
  R470	O3	+ CH3		= CH3O	+ O2		3.123898e+05
  R422	O	+ CH3O2		= CH3O	+ O2		1.796493e+01
  R254	HO2	+ CH3O2		= CH4O2	+ O2		1.534526e+01
  R471	O3	+ CH3O		= CH3O2	+ O2		9.230360e+00
  R472	O3	+ CH3O2		= CH3O	+ O2	+ O2	3.859581e-03 (x2)
  R500	OH	+ CH3O2		= CH4O	+ O2		8.415543e-04
  R469	O3	+ C2H5		= C2H5O	+ O2		1.851281e-05
  R251	HO2	+ C2H5		= C2H6	+ O2		6.068246e-08
  R85	CH3O2	+ CH3O2		= CH3O	+ CH3O	+ O2	9.087604e-12
  R86	CH3O2	+ CH3O2		= CH4O	+ CH2O	+ O2	5.544979e-12
  T2	HO2			= O2	+ H		1.278429e-15
  R244	HO2	+ C2H2		= C2H3	+ O2		6.981857e-20
  R156	H	+ CH3O2		= CH4	+ O2		7.552199e-24
  R216	HSO	+ O3		= HSO2	+ O2		0.000000e+00
  R269	HS	+ O3		= O2	+ HSO		0.000000e+00
  R271	HSO	+ O3		= HS	+ O2	+ O2	0.000000e+00 (x2)
  R537	S	+ O3		= O2	+ SO		0.000000e+00
  R545	SO	+ O3		= SO2	+ O2		0.000000e+00
  R551	SO2	+ HO2		= HSO2	+ O2		0.000000e+00
  R553	SO2	+ O		= SO	+ O2		0.000000e+00
  R555	SO3	+ O		= SO2	+ O2		0.000000e+00
  R570	S	+ HO2		= HS	+ O2		0.000000e+00

O2				LOSS RXS		INT RX RATE	TL = 6.60e+13

  M35	O	+ O2		= O3			5.098600e+13
  R464	O(1D)	+ O2		= O	+ O2		5.957030e+12
  P2	O2			= O	+ O(1D)		4.173056e+12
  P1	O2			= O	+ O		2.278232e+12
  M17	H	+ O2		= HO2			1.913897e+12
  R6	C	+ O2		= CO	+ O		6.767197e+11
  R118	CHO	+ O2		= CO	+ HO2		1.353512e+09
  M4	CH3	+ O2		= CH3O2			1.696357e+08
  R81	CH3O	+ O2		= CH2O	+ HO2		4.589243e+07
  R645	O2	+ CHO2		= HO2	+ CO2		8.792495e-03
  R26	C2H5O	+ O2		= C2H4O	+ HO2		2.970084e-05
  R268	HS	+ O2		= SO	+ OH		0.000000e+00
  R273	HSO2	+ O2		= HO2	+ SO2		0.000000e+00
  R275	HSO3	+ O2		= HO2	+ SO3		0.000000e+00
  R536	S	+ O2		= SO	+ O		0.000000e+00
  R544	SO	+ O2		= SO2	+ O		0.000000e+00
  R558	HSO	+ O2		= OH	+ SO2		0.000000e+00
  R562	SO21	+ O2		= O	+ SO3		0.000000e+00
  M21	HS	+ O2		= HSO2			0.000000e+00

************************************************************

O				PRODUCTION RXS		INT RX RATE	TP = 6.36e+13

  P3	O3			= O2	+ O		3.464319e+13
  R454	O(1D)	+ CO2		= CO2	+ O		1.198885e+13
  R464	O(1D)	+ O2		= O	+ O2		5.957030e+12
  P2	O2			= O	+ O(1D)		4.173056e+12
  P1	O2			= O	+ O		2.278232e+12 (x2)
  R6	C	+ O2		= CO	+ O		6.767197e+11
  P35	CO			= C	+ O		6.767197e+11
  R458	O(1D)	+ N2		= O	+ N2		5.434658e+11
  P36	CO2			= CO	+ O		3.477525e+11
  P5	HO2			= O	+ OH		2.388439e+09
  T1	O3			= O2	+ O		1.436193e+09
  R466	O(1D)	+ O3		= O2	+ O	+ O	8.761018e+08 (x2)
  R181	H	+ HO2		= O	+ H2O		4.416833e+08
  R526	OH	+ OH		= H2O	+ O		2.021192e+04
  R478	OH	+ C2H		= C2H2	+ O		4.812673e-16
  R536	S	+ O2		= SO	+ O		0.000000e+00
  R544	SO	+ O2		= SO2	+ O		0.000000e+00
  R562	SO21	+ O2		= O	+ SO3		0.000000e+00
  T41	SO3			= SO2	+ O		0.000000e+00
  T44	HSO2			= O	+ HSO		0.000000e+00
  P30	SO3			= SO2	+ O		0.000000e+00
  P46	SO2			= SO	+ O		0.000000e+00
  P49	HSO			= HS	+ O		0.000000e+00
  P51	SO			= S	+ O		0.000000e+00

O				LOSS RXS		INT RX RATE	TL = 6.36e+13

  M35	O	+ O2		= O3			5.098600e+13
